FID,codigo,empreendimento,subeixo,tipo,orgao_responsavel,executor,unidade_federativa,municipio,investimento_previsto,observacao,estagio,data_de_referencia,geometria,count
prevencao_risco.fid--370298aa_15b3a2610e3_6aa0,14467,Elaboração/Revisão de Plano Municipal de Redução de Riscos - Barra Mansa - RJ,Cidade Melhor,Prevenção em áreas de risco,Ministério das Cidades,Município,RJ,BARRA MANSA,--,,Concluído,30 de Junho de 2016,POINT (-44.171 -22.544),0
prevencao_risco.fid--370298aa_15b3a2610e3_6aa1,14468,Elaboração de projetos para estabilização de encostas - Barra Mansa - RJ,Cidade Melhor,Prevenção em áreas de risco,Ministério das Cidades,Município,RJ,BARRA MANSA,--,,Concluído,30 de Junho de 2016,POINT (-44.171 -22.544),0
prevencao_risco.fid--370298aa_15b3a2610e3_6aa2,14469,Elaboração de projetos para estabilização de encostas - Belford Roxo - RJ,Cidade Melhor,Prevenção em áreas de risco,Ministério das Cidades,Município,RJ,BELFORD ROXO,--,,Em execução,30 de Junho de 2016,POINT (-43.399 -22.764),0
prevencao_risco.fid--370298aa_15b3a2610e3_6aa3,14470,Obras de Contenção de Encostas em Belo Horizonte - Belo Horizonte - MG,Cidade Melhor,Prevenção em áreas de risco,Ministério das Cidades,Município,MG,BELO HORIZONTE,--,,Em obras,30 de Junho de 2016,POINT (-43.8921089172363 -19.859519958496),0
prevencao_risco.fid--370298aa_15b3a2610e3_6aa4,14471,Elaboração/Revisão de Plano Municipal de Redução de Riscos - Belo Horizonte - MG,Cidade Melhor,Prevenção em áreas de risco,Ministério das Cidades,Município,MG,BELO HORIZONTE,--,,Em execução,30 de Junho de 2016,POINT (-43.956 -19.817),0
prevencao_risco.fid--370298aa_15b3a2610e3_6aa5,14472,Elaboração de projetos para estabilização de encostas - Belo Horizonte - MG,Cidade Melhor,Prevenção em áreas de risco,Ministério das Cidades,Município,MG,BELO HORIZONTE,--,,Em execução,30 de Junho de 2016,POINT (-43.956 -19.817),0
prevencao_risco.fid--370298aa_15b3a2610e3_6aa6,14473,Elaboração de projetos para estabilização de encostas - Betim - MG,Cidade Melhor,Prevenção em áreas de risco,Ministério das Cidades,Município,MG,BETIM,--,,Concluído,30 de Junho de 2016,POINT (-44.198 -19.968),0
prevencao_risco.fid--370298aa_15b3a2610e3_6aa7,14474,Elaboração de projetos para estabilização de encostas - Blumenau - SC,Cidade Melhor,Prevenção em áreas de risco,Ministério das Cidades,Município,SC,BLUMENAU,--,,Em execução,30 de Junho de 2016,POINT (-49.066 -26.919),0
prevencao_risco.fid--370298aa_15b3a2610e3_6aa8,14475,Obras de Contenção de Encostas em Blumenau - Blumenau - SC,Cidade Melhor,Prevenção em áreas de risco,Ministério das Cidades,Município,SC,BLUMENAU,--,,Em obras,30 de Junho de 2016,POINT (-49.083889 -26.908889),0
prevencao_risco.fid--370298aa_15b3a2610e3_6aa9,14479,Elaboração de projetos para estabilização de encostas - Brusque - SC,Cidade Melhor,Prevenção em áreas de risco,Ministério das Cidades,Município,SC,BRUSQUE,--,,Em execução,30 de Junho de 2016,POINT (-48.918 -27.098),0
prevencao_risco.fid--370298aa_15b3a2610e3_6aaa,14485,Obras de Contenção de Encostas em Camaragibe - Camaragibe - PE,Cidade Melhor,Prevenção em áreas de risco,Ministério das Cidades,Município,PE,CAMARAGIBE,--,,Em obras,30 de Junho de 2016,POINT (-34.9795036315918 -8.01988792419434),0
prevencao_risco.fid--370298aa_15b3a2610e3_6aab,14486,Elaboração de projetos para estabilização de encostas - Camaragibe - PE,Cidade Melhor,Prevenção em áreas de risco,Ministério das Cidades,Município,PE,CAMARAGIBE,--,,Em execução,30 de Junho de 2016,POINT (-34.981 -8.022),0
prevencao_risco.fid--370298aa_15b3a2610e3_6aac,14491,Obras de Contenção de Encostas em Contagem - Contagem - MG,Cidade Melhor,Prevenção em áreas de risco,Ministério das Cidades,Município,MG,CONTAGEM,--,,Em obras,30 de Junho de 2016,POINT (-44.017836 -19.958984),0
