FID,codigo,empreendimento,subeixo,tipo,orgao_responsavel,executor,unidade_federativa,municipio,investimento_previsto,observacao,estagio,data_de_referencia,geometria,count
urbanizacao.fid--370298aa_15b3a2610e3_-73a8,28483,Urbanização - Bairro Cruzeiro - Santa Rosa - RS,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Município,RS,SANTA ROSA,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-54.43932 -27.868205)),0
urbanizacao.fid--370298aa_15b3a2610e3_-73a7,28486,Urbanização - Vila Real - 2ª fase - Várzea Paulista - SP,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Município,SP,VÁRZEA PAULISTA,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-46.8152389526367 -23.195650100708)),0
urbanizacao.fid--370298aa_15b3a2610e3_-73a6,28487,Urbanização - Jardim Lavínia - 2ª etapa - São Bernardo do Campo - SP,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Município,SP,SÃO BERNARDO DO CAMPO,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-46.560218 -23.724681)),0
urbanizacao.fid--370298aa_15b3a2610e3_-73a5,28489,Provisão Habitacional - Conjunto Habitacional Jacinta Andrade - Bairro Sta Maria Codipe - Teresina - PI,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Estado,PI,TERESINA,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-42.8194007873535 -4.98309993743896)),0
urbanizacao.fid--370298aa_15b3a2610e3_-73a4,28492,Urbanização - Palheiral - Rio Branco - AC,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Estado,AC,RIO BRANCO,--,,Concluído,30 de Junho de 2016,MULTIPOINT ((-67.8309783935547 -9.97840785980225)),0
urbanizacao.fid--370298aa_15b3a2610e3_-73a3,28493,Urbanização - Favela de Jaraguá - Maceió - AL,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Município,AL,MACEIÓ,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-35.7225 -9.67389)),0
urbanizacao.fid--370298aa_15b3a2610e3_-73a2,28494,Urbanização - Vale do Reginaldo - Maceió - AL,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Estado,AL,MACEIÓ,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-35.72889 -9.64806)),0
urbanizacao.fid--370298aa_15b3a2610e3_-73a1,28496,Urbanização - Nova Constituinte - área complementar 1 e 2 - Salvador - BA,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Estado,BA,SALVADOR,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-38.472127 -12.862117)),0
urbanizacao.fid--370298aa_15b3a2610e3_-73a0,28497,Urbanização - Comunidade Porto dos Milagres e Bairro Bolívia - área de influência na Comunidade (PSI + PDLI) e remanejamento Novo Horizonte - Valença - BA,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Município,BA,VALENÇA,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-39.0658874511719 -13.3809823989868)),0
urbanizacao.fid--370298aa_15b3a2610e3_-739f,28499,Urbanização - Santa Cruz - Luís Eduardo Magalhães - BA,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Município,BA,LUÍS EDUARDO MAGALHÃES,--,,Concluído,30 de Junho de 2016,MULTIPOINT ((-45.808821 -12.117475)),0
urbanizacao.fid--370298aa_15b3a2610e3_-739e,28500,Urbanização - Bairros Daniel Gomes- Pedro Jerônimo- São Pedro- Maria Pinheiro- Zizo- Fonseca e Novo Fonseca - Itabuna - BA,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Município,BA,ITABUNA,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-39.2630920410156 -14.807788848877)),0
urbanizacao.fid--370298aa_15b3a2610e3_-739d,28501,Urbanização - Açude Novo - Itaberaba - BA,Habitação,Urbanização de assentamentos precários,Ministério das Cidades,Município,BA,ITABERABA,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-40.266521 -12.540945)),0
