FID,codigo,empreendimento,subeixo,tipo,orgao_responsavel,executor,unidade_federativa,municipio,investimento_previsto,observacao,estagio,data_de_referencia,geometria,count
quadra.fid--370298aa_15b3a2610e3_-625c,37592,Quadras Esportivas nas Escolas - Marabá - PA - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PA,MARABÁ,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Em licitação de obra,30 de Junho de 2016,MULTIPOINT ((-49.1331086326805 -5.38113295032111)),0
quadra.fid--370298aa_15b3a2610e3_-625b,37593,Quadras Esportivas nas Escolas - Santarém - PA - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PA,SANTARÉM,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Em licitação de obra,30 de Junho de 2016,MULTIPOINT ((-54.700085056875295 -2.43885006675906)),0
quadra.fid--370298aa_15b3a2610e3_-625a,37593,Quadras Esportivas nas Escolas - Santarém - PA - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PA,SANTARÉM,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Em licitação de obra,30 de Junho de 2016,MULTIPOINT ((-54.700085056875295 -2.43885006675906)),0
quadra.fid--370298aa_15b3a2610e3_-6259,37594,Quadras Esportivas nas Escolas - Santarém - PA - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PA,SANTARÉM,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-54.700085056875295 -2.43885006675906)),0
quadra.fid--370298aa_15b3a2610e3_-6258,37594,Quadras Esportivas nas Escolas - Santarém - PA - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PA,SANTARÉM,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-54.700085056875295 -2.43885006675906)),0
quadra.fid--370298aa_15b3a2610e3_-6257,37595,Quadras Esportivas nas Escolas - Santarém - PA - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PA,SANTARÉM,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-54.700085056875295 -2.43885006675906)),0
quadra.fid--370298aa_15b3a2610e3_-6256,37595,Quadras Esportivas nas Escolas - Santarém - PA - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PA,SANTARÉM,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-54.700085056875295 -2.43885006675906)),0
quadra.fid--370298aa_15b3a2610e3_-6255,37596,Quadras Esportivas nas Escolas - Alenquer - PA - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PA,ALENQUER,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Em licitação de obra,30 de Junho de 2016,MULTIPOINT ((-54.738829157708196 -1.94658699614206)),0
quadra.fid--370298aa_15b3a2610e3_-6254,37596,Quadras Esportivas nas Escolas - Alenquer - PA - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PA,ALENQUER,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Em licitação de obra,30 de Junho de 2016,MULTIPOINT ((-54.738829157708196 -1.94658699614206)),0
quadra.fid--370298aa_15b3a2610e3_-6253,37597,Quadras Esportivas nas Escolas - Terra Santa - PA - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PA,TERRA SANTA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Em licitação de obra,30 de Junho de 2016,MULTIPOINT ((-56.488138521439296 -2.10479344024717)),0
quadra.fid--370298aa_15b3a2610e3_-6252,37597,Quadras Esportivas nas Escolas - Terra Santa - PA - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PA,TERRA SANTA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Em licitação de obra,30 de Junho de 2016,MULTIPOINT ((-56.488138521439296 -2.10479344024717)),0
quadra.fid--370298aa_15b3a2610e3_-6251,37598,Quadras Esportivas nas Escolas - Marapanim - PA - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PA,MARAPANIM,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-47.703784087189796 -0.715052924188661)),0
quadra.fid--370298aa_15b3a2610e3_-6250,37598,Quadras Esportivas nas Escolas - Marapanim - PA - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PA,MARAPANIM,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-47.703784087189796 -0.715052924188661)),0
quadra.fid--370298aa_15b3a2610e3_-624f,37599,Quadras Esportivas nas Escolas - Santa Maria do Pará - PA - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PA,SANTA MARIA DO PARÁ,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Em licitação de obra,30 de Junho de 2016,MULTIPOINT ((-47.5715891717626 -1.35427361848436)),0
quadra.fid--370298aa_15b3a2610e3_-624e,37599,Quadras Esportivas nas Escolas - Santa Maria do Pará - PA - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PA,SANTA MARIA DO PARÁ,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Em licitação de obra,30 de Junho de 2016,MULTIPOINT ((-47.5715891717626 -1.35427361848436)),0
quadra.fid--370298aa_15b3a2610e3_-624d,37600,Quadras Esportivas nas Escolas - São Domingos do Capim - PA - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PA,SÃO DOMINGOS DO CAPIM,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Em licitação de obra,30 de Junho de 2016,MULTIPOINT ((-47.766884713956195 -1.68804200248066)),0
quadra.fid--370298aa_15b3a2610e3_-624c,37600,Quadras Esportivas nas Escolas - São Domingos do Capim - PA - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PA,SÃO DOMINGOS DO CAPIM,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Em licitação de obra,30 de Junho de 2016,MULTIPOINT ((-47.766884713956195 -1.68804200248066)),0
quadra.fid--370298aa_15b3a2610e3_-624b,37601,Quadras Esportivas nas Escolas - Igarapé-Açu - PA - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PA,IGARAPÉ-AÇU,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Em licitação de obra,30 de Junho de 2016,MULTIPOINT ((-47.6178324871795 -1.13649302155131)),0
quadra.fid--370298aa_15b3a2610e3_-624a,37601,Quadras Esportivas nas Escolas - Igarapé-Açu - PA - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PA,IGARAPÉ-AÇU,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Em licitação de obra,30 de Junho de 2016,MULTIPOINT ((-47.6178324871795 -1.13649302155131)),0
quadra.fid--370298aa_15b3a2610e3_-6249,37602,Quadras Esportivas nas Escolas - Maracanã - PA - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PA,MARACANÃ,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Em licitação de obra,30 de Junho de 2016,MULTIPOINT ((-47.4524051896475 -0.779250420731747)),0
quadra.fid--370298aa_15b3a2610e3_-6248,37602,Quadras Esportivas nas Escolas - Maracanã - PA - Cobertura de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Estado,PA,MARACANÃ,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Em licitação de obra,30 de Junho de 2016,MULTIPOINT ((-47.4524051896475 -0.779250420731747)),0
